,genes.WormBaseID,genes.GeneName,tph1p_v_N2.log2FoldChange,tph1p_v_N2.padj,dat1p_v_N2.log2FoldChange,dat1p_v_N2.pvalue,rab3p_v_N2.log2FoldChange,dat1p_tph1p_v_N2.log2FoldChange,dat1p_tph1p_v_N2.stat,dat1p_tph1p_v_N2.pvalue
0,WBGene00000035,ace-1,-0.0806826008617072,0.8948155596036741,0.22510987070879396,0.38576128773659496,0.0029804659217809995,0.194130010449659,0.74339531672488,0.457242378864158
1,WBGene00000036,ace-2,0.6499643696594111,0.367856780877959,0.284359582633425,0.47905252096209994,0.7784218201846899,0.6892701520595439,1.7289501932879299,0.0838180095949598
2,WBGene00000037,ace-3,-0.0623089212124288,0.977540801452222,0.147131819205355,0.848271636770217,0.25458650422932605,1.1282898712873102,1.5350663691818003,0.124767526197544
3,WBGene00000038,ace-4,1.99951703840316,,1.39614706567871,0.6124786676655121,0.0,0.0,0.0,1.0
4,WBGene00000039,acn-1,0.927826864455141,0.140738726223961,0.769727075037033,0.0373903452587781,0.28742322828035,1.4201721543242498,3.8978026342294596,9.70694763491453e-05
5,WBGene00000040,aco-1,0.33465551745216904,0.427135336801159,-0.204573069900079,0.37138374362397997,0.133867691482078,0.48026850788486203,2.10283848739282,0.0354798904078459
6,WBGene00000041,aco-2,0.333350823308252,0.583010034074599,0.145135558799378,0.646792195615131,0.641503149405709,0.053890828600073,0.170132968270475,0.8649055665275329
7,WBGene00000042,acr-2,0.677193570707155,0.8232671586529989,1.80448928569134,0.17165835221660403,1.3730384093193897,1.4063028499047199,1.0454257126675799,0.295826257996839
8,WBGene00000043,acr-3,-1.02029744200446,0.5581203470502659,-0.0899193267961076,0.9161153331991451,-0.42856577784817396,0.183763257455869,0.217303730921505,0.8279716497102622
9,WBGene00000044,acr-5,0.0253919702887644,0.9880698625231958,0.625947712161566,0.26143266435453305,0.14705406124071801,0.18140321221503,0.314191210635504,0.753375817834255
10,WBGene00000045,acr-6,-0.293588651857219,,0.130345660579922,0.944033129916338,-2.64165864348708,0.23213463273998602,0.125012556106776,0.9005136099870491
11,WBGene00000046,acr-7,-0.218135062441323,0.910916372060241,0.328711049940905,0.6804592637738871,-1.41791126621143,-0.5017755546452161,-0.5988857101042281,0.549249101265168
